FIRST NAME,LAST NAME,OTHER NAME,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,BIRTH CITY,BIRTH STATE,HOMETOWN CITY,HOMETOWN STATE,CURRENT RESIDENCE,CURRENT STATE,SCHOOL/COLLEGE
Laura,Zeng,,F,Gymnastics,Rhythmic individual ,none,"5'3""",95,10/14/1999,Hartford,Conn.,Libertyville,Ill.,Libertyville,Ill. ,"Libertyville High School (Libertyville, Ill.) '18"
Logan,Dooley,,M,Gymnastics,Trampoline ,none,"5'9""",130,9/26/1987,Mission Viejo,Calif.,Lake Forest,Calif.,Lake Forest,Calif.,"Saddleback College '11, Child Development"
Nicole,Ahsinger,,F,Gymnastics,Trampoline ,none,"5'4""",128,5/12/1998,San Diego,Calif.,San Diego,Calif.,Lafayette,La.,"Scripps Ranch (San Diego, Calif.) '16"
Colton,Brown,,M,Judo,90 kg.,none,"6'0""",200,10/8/1991,San Jose,Calif.,Piscataway,N.J.,San Jose,Calif.,San Jose State University
Nick,Delpopolo,Born: Petra Perovic,M,Judo,73 kg.,2012,"5'8""",170,2/8/1989,Niksic,Montenegro,Davie,Fla. ,Davie,Fla.,Schenectady County Community College
Travis,Stevens,,M,Judo,81 kg.,2008; 2012,"5'11""",178,2/28/1986,Tacoma,Wash.,Tacoma,Wash.,Woburn,Mass.,North Shore Community College
Angelica,Delgado,,F,Judo,52 kg.,none,"5'3""",115,12/14/1990,Miami,Fla.,Miami,Fla. ,Miami,Fla.,Florida International University
Kayla,Harrison,,F,Judo,78 kg.,2012-G,"5'8""",165,7/2/1990,Middletown,Ohio,Middletown,Ohio,Danvers,Mass.,Middleton Highschool
Marti,Malloy,,F,Judo,57 kg.,2012-B,"5'3""",130,6/23/1986,Oak Harbor,Wash.,Oak Harbor,Wash.,San Jose,Calif.,San Jose State University
Nathan,Schrimsher,,M,Pentathlon,Men's,none,"6'2""",174,5/22/1992,Roswell,N.M.,Roswell,N.M.,Colorado Springs,Colo.,Eastern New Mexico State University '10
Isabella,Isaksen,,F,Pentathlon,Women's,none,"5'8""",139,11/22/1993,Fayetteville,Ark.,Fayetteville,Ark.,Colorado Springs,Colo.,"DeVry University '16, Environmental Sustainability"
Margaux,Isaksen,,F,Pentathlon,Women's,2008; 2012,"5'10""",134,10/7/1991,Fayetteville,Ark.,Fayetteville,Ark.,Colorado Springs,Colo.,"Fayetteville High School (Fayetteville, Ark.) '10"
Nareg,Guregian,,M,Rowing ,Men's Pair,none,"6'5""",215,1/20/1989,Los Angeles,Calif. ,North Hills,Calif.,North Hills,Calif.,University of California - Media Studies and Mass Communications 2010
Anders,Weiss,,M,Rowing ,Men's Pair,none,"6'5""",205,11/5/1992,Providence,R.I.,Barrington,R.I.,Barrington,R.I.,"Brown University '16, Economics "
Andrew,"Campbell, Jr.",,M,Rowing ,Lightweight Men's Double Sculls,none,"5'10""",155,2/2/1992,Barrington,Ill.,Cambridge,Mass.,Cambridge,Mass.,Harvard University
Josh,Konieczny,,M,Rowing ,Lightweight Men's Double Sculls,none,"5'11""",165,5/26/1991,Toledo,Ohio,Millbury,Ohio,Somerville,Mass.,"Dartmouth College '13, Ecnomics"
Anthony,Fahden,,M,Rowing ,Lightweight Men's Four,2012,"5'11""",158,2/27/1986,Berkeley,Calif.,Lafayette,Calif.,Lafayette,Calif.,"Dartmouth College '08, Art History"
Edward,King,,M,Rowing ,Lightweight Men's Four,none,"6'4""",170,6/14/1989,Kempton Park,South Africa,Ironton,Mo.,Ironton,Mo.,"U.S. Naval Academy '11, Oceanography"
Tyler,Nase,,M,Rowing ,Lightweight Men's Four,none,"6'0""",157,8/30/1990,Phoenixville,Pa. ,Phoenixville,Pa.,Phoenixville,Pa.,"Princeton Univesrity '13, Sociology"
Robin,Prendes,,M,Rowing ,Lightweight Men's Four,2012,"6'1""",160,12/13/1988,Matanzas,Cuba,Miami,Fla. ,Miami,Fla.,Princeton University '11
Charlie,Cole,,M,Rowing ,Men's Four,2012-B,"6'4""",200,6/21/1986,New York,N.Y.,New Canaan,Conn.,New York,N.Y. ,"Yale University, '07; Oxford University, '08"
Matt,Miller,,M,Rowing ,Men's Four,none,"6'5""",217,1/13/1989,Fairfax,Va.,Springfield,Va.,Dayton,N.J.,"University of Virginia '11, Systems and Information Engineering"
Henrik,Rummel,,M,Rowing ,Men's Four,2012-B,"6'5""",215,9/26/1987,Copenhagen,Denmark,Pittsford,N.Y.,Princeton,N.J.,"Harvard University '09, Applied Mathematics, Economics"
Seth,Weil,,M,Rowing ,Men's Four,none,"6'6""",215,3/9/1987,Menlo Park,Calif.,Menlo Park,Calif.,Menlo Park,Calif.,"University of California '11, Davis"
Michael,DiSanto,,M,Rowing ,Men's Eight,none,"6'1""",200,12/10/1989,Boston,Mass.,Boston,Mass.,Boston,Mass.,"Harvard University '12, Psychology"
Sam,Dommer,,M,Rowing ,Men's Eight,none,"6'2""",202,9/4/1991,Roseville,Calif.,Folsom,Calif.,Princeton,N.J.,University of Washington '14 Electcrial Engineering
Austin,Hack,,M,Rowing ,Men's Eight,none,"6'8""",220,5/17/1992,Springfield,Mass.,Old Lyme,Conn.,Princeton,N.J.,"Stanford University '14, Political Science"
Alex,Karwoski,,M,Rowing ,Men's Eight,none,"6'4""",200,9/16/1990,Nashua,N.H.,Hollis,N.H.,Moultonborough,N.H.,"Cornell University 12, Civil and Environmental Engineering"
Steve,Kasprzyk,,M,Rowing ,Men's Eight,2012,"6'7""",229,2/14/1982,Willingboro,N.J.,Cinnaminson,N.J.,Cinnaminson,N.J.,Drexel University '05
Rob,Munn,,M,Rowing ,Men's Eight,none,"6'4""",215,7/26/1990,Bellevue,Wash.,Redmond,Wash.,Princeton,N.J.,University of Washington
Glenn,Ochal,,M,Rowing ,Men's Eight,2012-B,"6'4""",210,3/1/1986,Philadelphia,Pa. ,Philadelphia,Pa.,Philadelphia,Pa.,"Princeton University '08, Economics"
Sam,Ojserkis,,M,Rowing ,Men's Eight,none,"5'8""",122,3/24/1990,Pomona,N.J.,Linwood,N.J.,Linwood,N.J.,"University of Washington '12, Geography"
Hans,Struzyna,,M,Rowing ,Men's Eight,none,"6'2""",200,3/31/1989,Seattle,Wash.,Kirkland,Wash.,Alameda,Calif.,"University of Washington '11, Business"
Grace,Luczak,,F,Rowing ,Women's Pair,none,"6'3""",170,5/24/1989,Royal Oak,Mich.,Ann Arbor,Mich.,Princeton,N.J.,"Stanford University '11, Human Biology"
Felice,Mueller,,F,Rowing ,Women's Pair,none,"6'1""",160,10/15/1989,White Plaines,N.Y.,Cleveland,Ohio,Pennington,N.J.,"University of Michigan, Art and Design"
Gevvie,Stone,,F,Rowing ,Women's Single Sculls,2012,"6'0""",157,7/11/1985,Boston,Mass.,Newton,Mass.,Newton,Mass.,"Princeton University, '07; 'Tufts University '14, M.D."
Kate,Bertko,,F,Rowing ,Lightweight Women's Double Sculls,none,"5'9""",128,11/8/1983,Oakland,Calif.,Oakland,Calif.,San Francisco,Calif.,Princeton University
Devery,Karz,,F,Rowing ,Lightweight Women's Double Sculls,none,"5'8""",130,2/18/1988,Park City,Utah,Park City,Utah,Park City,Utah,Oregon State University
Meghan,O'Leary,,F,Rowing ,Women's Double Sculls,none,"6'0""",162,8/24/1984,Tulsa,Okla.,Baton Rouge,La.,Princeton,N.J.,University of Virginia
Ellen,Tomek,,F,Rowing ,Women's Double Sculls,2008,"5'10""",160,5/1/1984,Flushing,Mich.,Flushing,Mich.,Flushing,Mich.,University of Michigan '02
Tracy,Eisser,,F,Rowing ,Womenês Quadruple Sculls,none,"6'1""",185,11/20/1989,Summit,N.J.,Fair Lawn,N.J.,Fair Lawn,N.J.,Cornell University '12
Megan,Kalmoe,,F,Rowing ,Womenês Quadruple Sculls,2008; 2012-B,"5'10""",160,8/21/1983,Minneapolis,Minn. ,St. Croix Falls,Wis.,Monmouth Junction,N.J.,University of Washington '06 Latin and English
Grace,Latz,,F,Rowing ,Womenês Quadruple Sculls,none,"6'0""",175,2/21/1988,Ann Arbor,Mich.,Jackson,Mich.,Kingston,N.J.,"University of Wisconsin '11, International Studies, Global Commons and Environmental Studies"
Adrienne,Martelli,,F,Rowing ,Womenês Quadruple Sculls,2012-B,"6'1""",170,12/3/1987,Glendale,Calif.,University Place,Wash.,University Place,Wash.,"University of Washington '10, Biology, Physiology"
Amanda,Elmore,,F,Rowing ,Women's Eight,none,"5'11""",175,3/13/1991,West Lafayette,Ind.,West Lafayette,Ind.,West Lafayette,Ind.,"Purdue University '13, Biology"
Tessa,Gobbo,,F,Rowing ,Women's Eight,none,"6'1""",180,12/8/1990,Keene,N.H.,Chesterfield,N.H.,Chesterfield,N.H.,"Brown University '13, Sociology"
Eleanor,Logan,,F,Rowing ,Women's Eight,2008-G; 2012-G,"6'2""",190,12/27/1987,Portland,Maine,Boothbay Harbor,Maine,Bellingham ,Wash.,Stanford University '11
Meghan,Musnicki,,F,Rowing ,Women's Eight,2012-G,"6'0""",163,2/5/1983,Canandaigua,N.Y.,Naples,N.Y.,West Windsor,N.J.,"Ithaca College '05, Psychology"
Amanda,Polk,,F,Rowing ,Women's Eight,none,"5'11""",185,8/2/1986,Pittsburg,Pa. ,Pittsburgh,Pa.,Pennington,N.J.,"University of Notre Dame '08, Biochemistry"
Emily,Regan,,F,Rowing ,Women's Eight,none,"6'2""",178,6/10/1988,Buffalo,N.Y.,Buffalo,N.Y.,Princeton,N.J.,Michigan State University '10
Lauren,Schmetterling,,F,Rowing ,Women's Eight,none,"5'11""",170,8/3/1988,Moorestown,N.J.,Moorestown,N.J.,Moorestown,N.J.,Colgate University '10
Kerry,Simmonds,,F,Rowing ,Women's Eight,none,"6'0""",180,4/3/1989,Palo Alto,Calif.,San Diego,Calif.,Princeton,N.J.,"University of Washington '11, Biology"
Katelin,Snyder,,F,Rowing ,Women's Eight,none,"5'4""",110,8/16/1987,Nashua,N.H.,Orlando,Fla. ,Orlando,Fla.,University of Washington
Perry,Baker,,M,Rugby,Wing,none,"6'1""",180,6/29/1986,New Smyrna Beach,Fla.,Daytona Beach,Fla. ,Daytona Beach,Fla.,"Fairmont State University '10, Criminal Justice"
Danny,Barrett,,M,Rugby,Prop,none,"6'2""",225,3/23/1990,Pacifica ,Calif.,Pacifica,Calif.,Pacifica ,Calif.,"University of California - Berkeley '13, American Studies"
Garrett,Bender,,M,Rugby,Forward,none,"6'4""",230,12/2/1991,Minneapolis,Minn. ,Minneapolis,Minn.,Minneapolis,Minn.,"Minneapolis Washburn (Miinneapolis, Minn.) '10"
Andrew,Durutalo,,M,Rugby,Prop,none,6'2,236,10/25/1987,New York,N.Y.,San Diego,Calif.,Chula Vista,Calif.,"Binghamton University '11, Business Administration"
Nate,Ebner,,M,Rugby,Forward,none,"6'1""",215,12/14/1988,Columbus,Ohio,Columbus ,Ohio,Marble Cliff,Ohio,"Ohio State University '12, Nutrition/Exercise Science"
Madison,Hughes,,M,Rugby,Scrum Half,none,"5'8""",175,10/26/1992,Epsom,United Kingdom,Lancaster,Mass.,San Diego,Calif.,"Dartmouth College '15, History"
Carlin,Isles,,M,Rugby,Wing,none,"5'8""",165,11/21/1989,Akron,Ohio,Massillon,Ohio,Chula Vista,Calif.,"Ashland University '12, Education Early Childhood"
Folau,Niua,,M,Rugby,Fly-Half,none,"6'0""",196,1/27/1985,Sacramento,Calif.,East Palo Alto,Calif.,East Palo Alto,Calif.,"Woodside High School (River City, Calif.) '02"
Ben,Pinkelman,,M,Rugby,Forward,none,"6'4""",220,6/13/1994,Omaha,Neb.,Centennial,Colo.,Centennial,Colo.,"Colorado State University '16, Criminal Justice"
Zack,Test,,M,Rugby,Hooker,none,"6'3""",205,10/13/1989,Redwood City,Calif.,Redwood City,Calif.,Redwood City,Calif.,University of Oregon
Maka,Unufe,,M,Rugby,Wing,none,"6'2""",205,9/28/1991,Chula Vista,Calif. ,Provo,Utah,Chula Vista,Calif.,"Provo High School (Provo,  Utah)"
Chris,Wyles,,M,Rugby,Center/Fullback/Wing,none,"6'0""",205,9/12/1983,Stamford,Conn.,Stamford,Conn.,London,United Kingdom,University of Nottingham
Bui,Baravilala,,F,Rugby,Full-back,none,"5'6""",165,7/12/1991,Honolulu,Hawaii,Honolulu,Hawaii,Chula Vista,Calif.,"Radford High School (Honolulu, Hawaii) '09"
Ryan,Carlyle,,F,Rugby,Hooker,none,"5'6""",145,11/24/1989,Nycack,N.Y.,West Nyack,N.Y.,San Diego,Calif.,"University of South Carolina '11, Sport Management; DeVry University '14, MBA International Business"
Lauren,Doyle,,F,Rugby,Wing / Full-Back,none,"5'6""",150,2/23/1991,Springfield,Ill.,Boody,Ill.,Chula Vista,Calif.,"Eastern Illinois University '14, Marketing"
Carmen,Farmer,,F,Rugby,Lock,none,"6'1""",180,12/4/1980,Richmond,Va.,Richmond,Va.,East New Market,Md.,"Virginia Tech University ê03, Public and Urban Affairs; University of Maryland-Baltimore •06, Law"
Nana,Fa'avesi,,F,Rugby,Prop,none,"5'6""",161,2/5/1992,Salinas,Calif.,Sacramento,Calif.,Chula Vista,Calif.,"Luther Burbank High School (Sacramento, Calif.) •10"
Victoria,Folayan,,F,Rugby,Hooker,none,"5'5""",160,5/27/1985,Boston,Mass.,Boston,Mass.,Chula Vista,Calif.,"Stanford University •06, Psychology, Drama"
Kelly,Griffin,,F,Rugby,Prop,none,"5'4""",150,11/7/1986,Berkeley,Calif.,Berkeley,Calif.,Chula Vista,Calif.,"University of California _ Los Angeles •08, Applied Mathematics"
Jessica,Javelet,,F,Rugby,Wing,none,"5'6""",140,6/25/1985,San Diego,Calif.,San Diego,Calif.,Rancho Santa Fe,Calif.,"University of Louisville ê07, Marketing"
Kathryn,Johnson,,F,Rugby,Center,none,"5'10""",153,10/25/1991,Minneapolis,Minn. ,Hopkins,Minn.,Hopkins,Minn.,University of Wisconsin-Milwaukee
Alev,Kelter,,F,Rugby,Scrum Half,none,"5'6""",165,3/21/1991,Tampa,Fla.,Eagle River,Alaska,San Diego,Calif.,"University of Wisconsin ê15, Fine Arts"
Jillion,Potter,,F,Rugby,Prop,none,"5'10""",175,7/5/1986,Austin,Texas,Denver,Colo.,Denver,Colo.,"University of New Mexico ê09, Exercise Science"
Richelle,Stephens,,F,Rugby,Flyhalf,none,"5'6""",145,7/22/1996,Fallbrook,Calif.,Fallbrook,Calif.,Fallbrook,Calif.,Lindenwood University 
Bora,Gulari,,M,Sailing,Nacra 17 Class (Two-Person Mixed Multihull),None,"5'11""",165,10/22/1975,Istanbul,Turkey,Detroit,Mich.,Detroit,Mich.,"University of Michigan '00, Aerospace Engineering"
Louisa,Chafee,,F,Sailing,Nacra 17 Class (Two-Person Mixed Multihull),None,"5'5""",125,9/24/1991,Providence,R.I.,Warwick,R.I.,Warwick,R.I.,Brown University 
Thomas,Barrows III,,M,Sailing,49er (Two-Person High Performance Skiff),2008 - U.S. Virgin Islands,"6'1""",181,11/2/1987,"St. Thomas, Virgin Islands",-,"St. Thomas, Virgin Islands",-,"St. Thomas, Virgin Islands",-,Yale University
Joe,Morris,,M,Sailing,49er (Two-Person High Performance Skiff),None,"5'10""",176,8/17/1989,Annapolis,Md.,Annapolis,Md. ,,,Yale University
Paris,Henken,,F,Sailing,49erFX (Two-Person High Performance Skiff),None,"5'6""",140,12/22/1995,Sonora,Calif.,Coronado,Calif.,Coronado,Calif.,College of Charleston
Helena ,Scutt,,F,Sailing,49erFX (Two-Person High Performance Skiff),None,"5'7""",145,6/15/1992,Cheltenham,United Kingdom,Kirkland,Wash.,Kirland,Wash.,Stanford University - Biomechanical Engineering (2014)
Charlie ,Buckingham,,M,Sailing,Laser (One-Person Dinghy),none,"6'2""",180,1/16/1989,Newport Beach,Calif.,Newport Beach,Calif.,Costa Mesa,Calif.,"Georgetown University '11, Government"
Paige ,Railey,,F,Sailing,Laser Radial (One-Person Dinghy),2012,"5'8""",147,5/15/1987,Clearwater,Fla.,Clearwater,Fla. ,Clearwater,Fla.,University of South Florida - Business Management (2010)
Caleb,Paine,,M,Sailing,Finn (One-Person Heavyweight Dinghy),None,"6'3""",215,11/15/1990,San Diego,Calif.,San Diego,Calif.,San Diego,Calif.,Mesa College
Pedro,Pascual,,M,Sailing,RS:X,none,"6'1""",154,3/15/1996,Cordoba,Mexico,Boca Raton,Fla. ,Chipiona,Cadiz,"Florida Atlantic University '18, Mechanical Engineering"
Marion ,Lepert,,F,Sailing,RS:X (Sail Board),none,"5'10""",135,9/18/1995,La Tronche,France,Belmont,Calif.,Belmont,Calif.,"Stanford University ê18, Mechanical Engineering"
Dave,Hughes,,M,Sailing,470 (Two-Person Dinghy),none,"6'1""",157,1/22/1978,Ithaca,N.Y.,Miami,Fla. ,Miami ,Fla.,
Stu,McNay,,M,Sailing,470 (Two-Person Dinghy),2008-13th; 2012-14th,"5'7""",145,8/1/1981,Boston,Mass.,Providence,R.I.,Providence,R.I.,
Annie,Haeger,,F,Sailing,470 (Two-Person Dinghy),none,"5'6""",128,2/5/1990,Chicago,Ill.,East Troy,Wis.,Ft. Lauderdale,Fla.,"Boston College '12, Marketing"
Briana,Provancha ,,F,Sailing,470 (Two-Person Dinghy),none,"5'7""",147,4/25/1989,San Diego,Calif.,San Diego,Calif.,Miami ,Fla.,"Boston College '12, Marketing"
Will,Brown,,M,Shooting,Air,none,"5'7""",135,12/31/1991,Twin Falls,Idaho,Twin Falls,Idaho,Twin Falls,Idaho,"University of Colorado _ Colorado Springs, Mechanical Engineering"
Emil,Milev,,M,Shooting,Rapid Fire,Bulgaria: 1992; 1996-S; 2000; 2004; USA: 2012,"5'10""",185,5/2/1968,Sofia,Bulgaria,Brandon,Fla. ,Brandon,Fla.,"Bulgaria National Sports Academy ê01, Physical Education/Coaching"
Keith,Sanderson,,M,Shooting,Rapid Fire,2008-5th; 2012-14th,"6'0""",210,2/2/1975,Colorado Springs,Colo.,San Antonio,Texas,Colorado Springs,Colo.,"John Marshall High School (San Antonio, Texas) "
Jay,Shi,,M,Shooting,"Free, Air",none,"5'8""",135,2/23/1979,Beijing,China,Phoenix ,Ariz.,Phoenix,Ariz. ,"Arizona State University ê04, Computer System Engineering "
Lydia,Paterson,,F,Shooting,Air,none,"5'4""",153,10/17/1996,Kansas City,Kan.,Kansas City,Kan.,Kansas City,Kan. ,"University of St. Mary ê18, Biology"
Enkelejda,Shehaj,,F,Shooting,Sport,"Albania 1992-14th; 1996-15th, 21st","5'4""",126,1/23/1969,Tirana,Albania,Naples,Fla. ,Naples,Fla.,University of Albania
Matt,Emmons,,M,Shooting,Three-Position,2004-Gold; 2008-Silver; 2012-Bronze,"5'9""",185,4/5/1981,Mount Holly,N.J.,Brown Mills,N.J.,Zbiroh,Czech Republic,"University of Alaska-Fairbanks '03, Accounting"
David,Higgins,,M,Shooting,Prone,none,"5'9""",150,6/27/1994,La Jolla,Calif.,San Clemente,Calif.,Colorado Springs,Colo.,"Air Force Academy '16, Economics"
Lucas,Kozeniesky ,,M,Shooting,Air,none,"5'11""",175,5/31/1995,Meterie,La.,Fairfax,Va.,Camp Lejeune,N.C. ,"North Carolina State University '17, Sport Management"
Daniel,Lowe,,M,Shooting,Air,none,"6'0""",180,11/18/1992,Federal Way,Wash.,Olympia,Wash.,Fort Benning,Ga.,"(Olympia, Wash.) '12"
Michael,McPhail,,M,Shooting,Prone,2012-9th,"6'0""",195,12/15/1981,Platteville,Wis.,Darlington,Wis.,Fortson,Ga.,"University of Wisconsin - Oshkosh, Bsuiness"
Sarah,Scherer,,F,Shooting,Air,2012- 7th,"5'7""",137,2/12/1991,Salt Lake City,Utah,Woburn,Mass.,Colorado Springs,Colo.,"Texas Christian University •13, Nutrition"
Virginia,Thrasher,,F,Shooting,"Air, Three-Position",none,"5'1""",120,2/28/1997,Rome,N.Y. ,Springfield,Va.,Springfield,Va.,"West Virginia University •19, Engineering"
Glenn,Eller,,M,Shooting,Double Trap,2000; 2004; 2008-Gold; 2012,"6'2""",180,1/6/1982,Houston,Texas,Columbus,Ga.,Columbus,Ga.,Auburn University '04
Vincent,Hancock,,M,Shooting,Skeet,2008-Gold; 2012-Gold,"5'8""",175,3/19/1989,Port Charlotte,Fla.,Eatonton,Ga.,Fort Worth,Texas,"Troy University '14, Business Management"
Josh,Richmond,,M,Shooting,Double Trap,2012-16th,"6'2""",201,12/19/1985,Sayre,Pa. ,Hillsgrove,Pa.,Midland,Ga.,"Troy State Online ê14, General Education"
Frank,Thompson,,M,Shooting,Skeet,2012-8th,"5'11""",174,3/11/1988,Alliance,Neb.,Alliance,Neb.,Alliance,Neb.,"University of Colorado _ Colorado Springs ê11, Business Administration "
Corey,Cogdell-Unrein,,F,Shooting,Trap,2008-B; 2012,"5'8""",155,9/2/1986,Palmer,Alaska,Eagle River,Alaska,Colorado Springs,Colo.,"I.D.E.A. Home School Association (Eagle River, Alaska) •06"
Morgan,Craft,,F,Shooting,Skeet,none,"5'3""",140,5/11/1993,Williamsport,Pa.,Muncy Valley,Pa.,Hellertown,Pa.,"Lindenwood University '15, Exercise Science"
Kim,Rhode,,F,Shooting,Skeet,1996-G; 2000-B; 2004-G; 2008-S; 2012-G,"5'4""",180,7/16/1979,Whittier,Calif.,El Monte,Calif.,Monrovia,Calif.,"California State Polytechnic University _ Pomona, Food and Marketing, and Agribusiness Management"
Morgan,Brian,,F,Soccer,Midfield,none,"5'7""",127,2/26/1993,Kinston,N.C. ,Houston,Texas,Smyrna,Ga.,"University of Virginia '14, Kinesiology"
Crystal,Dunn,,F,Soccer,Midfield,none,"5'2""",123,7/3/1992,Queens,N.Y. ,Rockville Centre,N.Y. ,Rockville Centre,N.Y. ,"University of North Carolina ê14, Sociology"
Whitney,Engen,,F,Soccer,Defenseman,none,"5'7""",143,11/28/1987,Torrance,Calif.,Rolling Hills Estates,Calif.,Rancho Palos Verdes,Calif.,"University of North Carolina '09, Political Science "
Tobin,Heath,,F,Soccer,Midfield,2008-G; 2012-G,"5'6""",130,5/29/1988,Morrison,N.J. ,Basking Ridge,N.J.,Palm City,Fla.,"University of North Carolina '10, Communications"
Lindsey,Horan,,F,Soccer,Forward,none,5'9',165,5/26/1994,Wheat Ridge,Colo.,Golden,Colo. ,Golden,Colo.,--
Julie,Johnston,,F,Soccer,Defenseman,none,"5'7""",144,4/6/1992,Phoenix,Ariz.,Mesa,Ariz.,Mesa,Ariz. ,"Santa Clara Univeristy '14, Communication"
Meghan,Klingenberg,,F,Soccer,Defenseman,none,"5'2""",122,8/2/1988,Pittsburgh,Pa.,Pittsburgh,Pa. ,Gibsonia,Pa.,"University of North Carolina '11, Business"
Ali,Krieger,,F,Soccer,Defenseman,none,"5'6""",138,7/28/1984,Alexandria,Va.,Dumfries,Va.,Derwood,Md.,"Penn State University '07, Advertising/Public Relations"
Carli,Lloyd,,F,Soccer,Midfield,2008-G; 2012-G,"5'7""",140,7/16/1982,Marlton,N.J.,Delran,N.J. ,Mt. Laurel,N.J.,"Rutgers University '05, Exercise Science/Sport Studies"
Allie,Long,,F,Soccer,Midfield,none,"5'8""",140,8/13/1987,Huntington ,N.Y. ,Northport,N.Y. ,East Northport,N.Y. ,"University of North Carolina '08, Exercise/Sport Science"
Alex,Morgan,,F,Soccer,Forward,2012-G,"5'8""",137,7/2/1989,San Dimas,Calif.,Diamond Bar,Calif. ,Altamonte Springs,Fla. ,"University of California - Berkeley '10, Political Economy"
Alyssa,Naeher,,F,Soccer,Goalkeeper,none,"5'9""",152,4/20/1988,Bridgeport,Conn.,Seymour,Conn. ,Seymour,Conn.,"Penn State University '09, Kinesiology"
Kelley,O'Hara,,F,Soccer,Defenseman,2012-G,"5'5""",127,8/4/1988,Jacksonville,Fla. ,Fayetteville,Ga. ,Fayetteville,Ga.,"Stanford University '09, Science, Techonology and Society"
Christen,Press,,F,Soccer,Forward,none,"5'6""",135,12/29/1988,Los Angeles,Calif.,Palos Verdes Estates,Calif.,,,"Stanford University '10, Communication"
Mallory,Pugh,,F,Soccer,Forward,none,"5'4""",120,4/29/1998,Littleton,Colo.,Highlands Ranch,Colo.,Highlands Ranch,Colo.,University of California - Los Angeles 
Megan,Rapinoe,,F,Soccer,Midfield,2012-G,"5'6""",133,7/5/1985,Redding,Calif.,Redding,Calif.,Seattle,Wash.,"University of Portland '08, Sociology/Political Science"
Becky,Sauerbrunn,,F,Soccer,Defenseman,2012-G,"5'7""",140,6/6/1985,St. Louis,Mo.,St. Louis,Mo. ,Portland,Ore.,"University of Virginia '07, English"
Hope,Solo,,F,Soccer,Goalkeeper,2008-G; 2012-G,"5'9""",148,7/30/1981,Richland,Wash.,Richland,Wash. ,Kirkland,Wash.,"University of Washington '03, Communications"
Nathan,Adrian,,M,Swimming,"50m Free, 100m Free, 4x100 Free","2008-G; 2012-2G, S","6'6""",220,12/7/1988,Bremerton,Wash.,Bremerton,Wash.,Berkeley,Calif.,UC Berkeley - Public Health (2012 grad)
Gunnar,Bentz,,M,Swimming,4x200m Free,none,"6'5""",185,1/3/1996,Atlanta,Ga.,Atlanta,Ga.,Athens,Ga.,"University of Georgia •18, Business Management/Aerospace Studies"
Jack,Conger,,M,Swimming,4x200m Free,none,"6'4""",175,9/26/1994,Rockville,Md.,Rockville,Md. ,Rockville,Md.,"University of Texas •18, Corporate Communications"
Kevin,Cordes,,M,Swimming,"100m Breast, 200m Breast",none,"6'5""",193,8/13/1993,Chicago ,Ill.,Naperville,Ill.,Naperville,Ill. ,"University of Arizona •15, Business"
Caeleb,Dressel,,M,Swimming,"100m Free, 4x100m Free",none,"6'3""",190,8/16/1996,Orange Park,Fla.,Orange Park,Fla. ,Gainesville,Fla.,University of Florida '18
Conor,Dwyer,,M,Swimming,"200m Free, 400m Free, 4x200m Free",2012-G,"6'5""",195,1/10/1989,Evanston,Ill. ,Winnetka,Ill.,Winnetka,Ill. ,"University of Florida •12, Sports Management "
Anthony,Ervin,,M,Swimming,"50m Free, 4x100m Free","2000-G,S; 2012","6'3""",177,5/26/1981,Los Angeles,Calif.,Valencia,Calif. ,Los Angeles,Calif.,"University of California _ Berkeley •10, English"
Jimmy,Feigen,,M,Swimming,4x100m Free,2012-S,"6'5""",216,9/26/1989,Hilo,Hawaii,San Antonio,Texas,Charlotte,N.C. ,"University of Texas •13, Kinesiology"
Townley,Haas,,M,Swimming,"200m Free, 4x200m Free",none,"6'5""",185,12/13/1996,Richmond,Va.,Henrico,Va.,Austin,Texas,University of Texas
Ryan,Held,,M,Swimming,4x100m Free,none,,,6/27/1995,Springfield,Ill. ,Springfield,Ill.,,,North Carolina State University
Connor,Jaeger,,M,Swimming,"400m Free, 1,500m Free",2012-6th,"6'1""",170,4/30/1991,Hackensack,N.J. ,Fair Haven,N.J. ,Fair Haven,N.J. ,"University of Michigan •14, Mechanical Engineer"
Chase,Kalisz,,M,Swimming,400m IM,none,"6'4""",190,3/7/1994,Baltimore,Md.,Bel Air,Md. ,Bel Air ,Md.,"University of Georgia '16, Business"
Jay,Litherland,,M,Swimming,400m IM,none,"6'0""",175,8/24/1995,Osaka,Japan,Greensboro,Ga. ,Greensboro,Ga.,"University of Georgia '18, Business"
Ryan,Lochte,,M,Swimming,"200m IM, 4x200 Free","2004-G,S; 2008-2G,2B; 2G,2S,B","6'2""",194,8/3/1984,Rochester,N.Y.,Daytona Beach,Fla. ,Charlotte,N.C. ,"University of Florida '06, Sports Management"
Cody,Miller,,M,Swimming,100m Breast,none,"5'11""",175,1/9/1992,Billings,Mont. ,Las Vegas,Nev. ,Bloomington,Ind. ,"Indiana University '15, Business Management "
Ryan,Murphy,,M,Swimming,"100m Back, 200m Back",none,"6'3""",200,7/2/1995,Palos Heights,Ill.,Ponte Vedra Beach,Fla. ,Berkeley,Calif.,"University of California - Berkeley '17, Undeclared"
